,productCd,countryCd,label
214,85131000,Cyprus,Portable electrical lamps designed to function by their own source of energy
215,8513100000,Cyprus,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
216,8513101000,Cyprus,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
217,8513109080,Cyprus,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
218,85131000,Czech Republic,Portable electrical lamps designed to function by their own source of energy
219,8513100000,Czech Republic,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
220,8513101000,Czech Republic,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
221,8513109080,Czech Republic,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
222,85131000,Estonia,Portable electrical lamps designed to function by their own source of energy
223,8513100000,Estonia,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
224,8513101000,Estonia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
225,8513109080,Estonia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
226,85131000,Bulgaria,Portable electrical lamps designed to function by their own source of energy
227,8513100000,Bulgaria,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
228,8513101000,Bulgaria,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
229,8513109080,Bulgaria,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
230,85131000,Croatia,Portable electrical lamps designed to function by their own source of energy
231,8513100000,Croatia,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
232,8513101000,Croatia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
233,8513109080,Croatia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
234,85131000,Belgium,Portable electrical lamps designed to function by their own source of energy
235,8513100000,Belgium,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
236,8513101000,Belgium,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
237,8513109080,Belgium,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
238,85131000,Austria,Portable electrical lamps designed to function by their own source of energy
239,8513100000,Austria,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
