,productCd,countryCd,label,,,,,,,
78,85414000,Trinidad and Tobago,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
79,85414000,United Arab Emirates,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators)",,,,,,,
80,85414000,Turks and Caicos Islands,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
81,85414000,Uganda,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
82,85414000,"Tanzania, United Republic of","Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
83,85414000,Samoa,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
84,85414000,Yemen,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
85,85414000,Zambia,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
86,854140000,Brunei Darussalam,Other photosensitive semiconductor devices incl photovoltaic cells (u),,,,,,,
87,854140000,Jordan,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
88,854140000,Malaysia,"Photosensitive semicon- ductor devices, incl. photovoltaic cells, w/n assembled in modules; light emitting diodes",,,,,,,
89,8541400000,Antigua and Barbuda,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
90,8541400000,Barbados,Photosensitive semiconductor devices and light emitting diodes,,,,,,,
91,8541400000,Belize,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
92,8541400000,Brunei Darussalam,Other photosensitive semiconductor devices incl photovoltaic cells (u),,,,,,,
93,8541400000,Cabo Verde,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
94,8541400000,Central African Republic,"Dispositifs photosensibles a semi conducteur, y compris les cellules photovoltaiques, meme assemblees en modules ou constitues en panneaux ; diodes emettrices de lumiere",,,,,,,
95,8541400000,Comoros,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
96,8541400000,Costa Rica,"Dispositivos material semiconductor fotosensibles, incl. las células fotovoltaicas aunque estén ensambladas en módulos o paneles (exc. generadores fotovoltaicos); diodos emisores de luz + descripción detallada no disponible +",,,,,,,
97,8541400000,Benin,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
98,8541400000,Ghana,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
99,8541400000,Guinea,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
100,8541400000,Guyana,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
101,8541400000,Honduras,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est,,,,,,,
102,8541400000,Jamaica,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
103,8541400000,Austria,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
104,8541400000,Belgium,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
105,8541400000,Bulgaria,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
