,productCd,countryCd,label
0,85013000,"Palestine, State of",Electric motors and generators (excl. generating sets) (detailed label not available)
1,85013000,Kiribati,Electric motors and generators (excluding generating sets) (detailed label not available)
2,8501300000,Guyana,No product description available
3,85013000,Montserrat,Commodities not elsewhere specified
4,85013000,Oman,Electric motors and generators (excl. generating sets) (detailed label not available)
5,8501300000,Nicaragua,No product description available
6,85013000,Qatar,Commodities not elsewhere specified
7,85013000,Saint Lucia,No product description available
